0.2 0.02 4.4
0.21 0.02 4.42
0.22 0.02 4.4399999999999995
0.23 0.02 4.46
0.24 0.02 4.48
0.25 0.02 4.5
0.26 0.02 4.52
0.27 0.02 4.54
0.28 0.02 4.5600000000000005
0.29 0.02 4.58
0.3 0.02 4.6
0.31 0.02 4.62
0.32 0.02 4.640000000000001
0.33 0.02 4.66
0.34 0.02 4.68
0.35 0.02 4.7
0.36 0.02 4.72
0.37 0.02 4.74
0.38 0.02 4.76
0.39 0.02 4.78
0.4 0.02 4.8
0.41 0.02 4.82
0.42 0.02 4.84
0.43 0.02 4.859999999999999
0.44 0.02 4.88
0.45 0.02 4.9
0.46 0.02 4.92
0.47 0.02 4.9399999999999995
0.48 0.02 4.96
0.49 0.02 4.98
0.5 0.02 5.0
0.51 0.02 5.02
0.52 0.02 5.04
0.53 0.02 5.0600000000000005
0.54 0.02 5.08
0.55 0.02 5.1
0.56 0.02 5.12
0.57 0.02 5.14
0.58 0.02 5.16
0.59 0.02 5.18
0.6 0.02 5.2
0.61 0.02 5.22
0.62 0.02 5.24
0.63 0.02 5.26
0.64 0.02 5.28
0.65 0.02 5.3
0.66 0.02 5.32
0.67 0.02 5.34
0.68 0.02 5.36
0.69 0.02 5.38
0.7 0.02 5.4
0.71 0.02 5.42
0.72 0.02 5.4399999999999995
0.73 0.02 5.46
0.74 0.02 5.48
0.75 0.02 5.5
0.76 0.02 5.52
0.77 0.02 5.54
0.78 0.02 5.5600000000000005
0.79 0.02 5.58
0.8 0.02 5.6
0.81 0.02 5.62
0.82 0.02 5.64
0.83 0.02 5.66
0.84 0.02 5.68
0.85 0.02 5.7
0.86 0.02 5.72
0.87 0.02 5.74
0.88 0.02 5.76
0.89 0.02 5.78
0.9 0.02 5.8
0.91 0.02 5.82
0.92 0.02 5.84
0.93 0.02 5.86
0.94 0.02 5.88
0.95 0.02 5.9
0.96 0.02 5.92
0.97 0.02 5.9399999999999995
0.98 0.02 5.96
0.99 0.02 5.98
1.0 0.02 6.0
0.0 0.03 4.0
0.01 0.03 4.02
0.02 0.03 4.04
0.03 0.03 4.0600000000000005
0.04 0.03 4.08
0.05 0.03 4.1
0.06 0.03 4.12
0.07 0.03 4.140000000000001
0.08 0.03 4.16
0.09 0.03 4.18
0.1 0.03 4.2
0.11 0.03 4.22
0.12 0.03 4.24
0.13 0.03 4.26
0.14 0.03 4.28
0.15 0.03 4.3
0.16 0.03 4.32
0.17 0.03 4.34
0.18 0.03 4.359999999999999
0.19 0.03 4.38
0.2 0.03 4.4
0.21 0.03 4.42
0.22 0.03 4.4399999999999995
0.23 0.03 4.46
0.24 0.03 4.48
0.25 0.03 4.5
0.26 0.03 4.52
0.27 0.03 4.54
0.28 0.03 4.5600000000000005
0.29 0.03 4.58
0.3 0.03 4.6
0.31 0.03 4.62
0.32 0.03 4.640000000000001
0.33 0.03 4.66
0.34 0.03 4.68
0.35 0.03 4.7
0.36 0.03 4.72
0.37 0.03 4.74
0.38 0.03 4.76
0.39 0.03 4.78
0.4 0.03 4.8
0.41 0.03 4.82
0.42 0.03 4.84
0.43 0.03 4.859999999999999
0.44 0.03 4.88
0.45 0.03 4.9
0.46 0.03 4.92
0.47 0.03 4.9399999999999995
0.48 0.03 4.96
0.49 0.03 4.98
0.5 0.03 5.0
0.51 0.03 5.02
0.52 0.03 5.04
0.53 0.03 5.0600000000000005
0.54 0.03 5.08
0.55 0.03 5.1
0.56 0.03 5.12
0.57 0.03 5.14
0.58 0.03 5.16
0.59 0.03 5.18
0.6 0.03 5.2
0.61 0.03 5.22
0.62 0.03 5.24
0.63 0.03 5.26
0.64 0.03 5.28
0.65 0.03 5.3
0.66 0.03 5.32
0.67 0.03 5.34
0.68 0.03 5.36
0.69 0.03 5.38
0.7 0.03 5.4
0.71 0.03 5.42
0.72 0.03 5.4399999999999995
0.73 0.03 5.46
0.74 0.03 5.48
0.75 0.03 5.5
0.76 0.03 5.52
0.77 0.03 5.54
0.78 0.03 5.5600000000000005
0.79 0.03 5.58
0.8 0.03 5.6
0.81 0.03 5.62
0.82 0.03 5.64
0.83 0.03 5.66
0.84 0.03 5.68
0.85 0.03 5.7
0.86 0.03 5.72
0.87 0.03 5.74
0.88 0.03 5.76
0.89 0.03 5.78
0.9 0.03 5.8
0.91 0.03 5.82
0.92 0.03 5.84
0.93 0.03 5.86
0.94 0.03 5.88
0.95 0.03 5.9
0.96 0.03 5.92
0.97 0.03 5.9399999999999995
0.98 0.03 5.96
0.99 0.03 5.98
1.0 0.03 6.0
0.0 0.04 4.0
0.01 0.04 4.02
0.02 0.04 4.04
0.03 0.04 4.0600000000000005
0.04 0.04 4.08
0.05 0.04 4.1
0.06 0.04 4.12
0.07 0.04 4.140000000000001
0.08 0.04 4.16
0.09 0.04 4.18
0.1 0.04 4.2
0.11 0.04 4.22
0.12 0.04 4.24
0.13 0.04 4.26
0.14 0.04 4.28
0.15 0.04 4.3
0.16 0.04 4.32
